          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
           4       0.0005        0.186      4.18394       0       0.0192   0.00633277    0.0223129     0.860489    -0.491552    -0.612595 
           4       0.0005        0.227      3.69068       1       0.0269   0.00604197    0.0253331      1.06185     0.259331     0.330055 
        11.5       0.0005         0.57      2.94541       2       0.0456   0.00999004    0.0510443     0.893341    -0.544976    -0.703142 
        11.5       0.0005        0.699      2.22533       3       0.0498    0.0111529    0.0539938     0.922327    -0.376033    -0.461171 
           4        0.003        0.033      10.8265       4       0.0159   0.00194293    0.0194632     0.816928     -1.83391     -2.82516 
           4        0.003        0.041      9.67269       5       0.0164    0.0022648    0.0198229     0.827328     -1.51133     -1.96087 
           4        0.003        0.054      8.37103       6        0.016   0.00193395    0.0194869     0.821066     -1.80297     -2.63407 
           4        0.003        0.085      6.56192       7       0.0171   0.00303104    0.0185405     0.922303    -0.475264    -0.559322 
           4        0.003        0.125       5.2915       8       0.0115   0.00458968    0.0182731      0.62934     -1.47572     -1.55038 
        11.5        0.003        0.089      10.8496       9       0.0222    0.0028588    0.0264094     0.840609     -1.47244     -1.93322 
        11.5        0.003        0.101      10.1174      10       0.0227   0.00264141    0.0268787     0.844534     -1.58201     -2.25757 
        11.5        0.003        0.117      9.31615      11       0.0256   0.00279791    0.0269615     0.949501    -0.486629    -0.742924 
        11.5        0.003        0.155      7.91793      12       0.0288   0.00266458    0.0269074      1.07034     0.710265        1.579 
        11.5        0.003        0.244      5.96918      13       0.0281   0.00259876    0.0280336      1.00237    0.0255664    0.0557149 
        11.5        0.003        0.361      4.51176      14       0.0284   0.00271692    0.0309345     0.918068    -0.932868     -1.85844 
          44        0.003        0.341      9.22129      15       0.0379   0.00472216    0.0348665        1.087     0.642398     0.858512 
          44        0.003        0.386      8.36598      16        0.035   0.00420408    0.0359549     0.973442    -0.227138    -0.313868 
          44        0.003        0.446      7.39288      17       0.0316   0.00380055    0.0370222     0.853541      -1.4267     -2.05781 
          44        0.003        0.592      5.50675      18       0.0412    0.0044557     0.037547      1.09729     0.819851      1.84639 
