          Q2           xp         beta           mx   iData         Data       ErrTot       Theory        Ratio         Pull      PullUnc 
        11.5       0.0005         0.57      2.94541       0       0.0456   0.00999004    0.0458918     0.993641   -0.0292103   -0.0376879 
        11.5       0.0005        0.699      2.22533       1       0.0498    0.0111529    0.0485921      1.02486     0.108308      0.13283 
        11.5        0.003        0.089      10.8496       2       0.0222    0.0028588    0.0258546     0.858647     -1.27837     -1.67842 
        11.5        0.003        0.101      10.1174       3       0.0227   0.00264141    0.0266963     0.850307     -1.51293     -2.15898 
        11.5        0.003        0.117      9.31615       4       0.0256   0.00279791     0.027233     0.940037    -0.583637    -0.891023 
        11.5        0.003        0.155      7.91793       5       0.0288   0.00266458    0.0278072       1.0357     0.372589      0.82831 
        11.5        0.003        0.244      5.96918       6       0.0281   0.00259876    0.0295053     0.952372    -0.540755     -1.17843 
        11.5        0.003        0.361      4.51176       7       0.0284   0.00271692     0.032137     0.883717     -1.37545     -2.74014 
          44        0.003        0.341      9.22129       8       0.0379   0.00472216    0.0337406      1.12328     0.880828      1.17715 
          44        0.003        0.386      8.36598       9        0.035   0.00420408    0.0347429       1.0074    0.0611648    0.0845199 
          44        0.003        0.446      7.39288      10       0.0316   0.00380055    0.0354967     0.890224     -1.02529     -1.47884 
          44        0.003        0.592      5.50675      11       0.0412    0.0044557    0.0352214      1.16974      1.34178      3.02184 
